,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,98,97,96,92,99,48,76
1,Lionel Messi,Argentina,97,96,96,90,98,47,75
2,Cristiano Ronaldo,Portugal,97,96,96,86,97,53,92
3,Cristiano Ronaldo,Portugal,96,95,96,85,95,52,91
4,Lionel Messi,Argentina,96,94,92,86,97,45,74
5,Iniesta,Spain,96,79,76,99,97,71,60
6,Cristiano Ronaldo,Portugal,95,95,94,84,94,51,90
7,Iniesta,Spain,95,79,75,97,97,71,60
8,Xavi,Spain,95,71,79,98,93,72,58
9,Lionel Messi,Argentina,95,93,90,85,96,44,73
10,Xavi,Spain,94,70,78,97,91,71,58
11,Zlatan Ibrahimović,Sweden,94,83,96,86,92,56,85
12,Franck Ribéry,France,94,96,89,91,96,53,62
13,Cristiano Ronaldo,Portugal,94,94,93,83,94,50,90
14,Falcao,Colombia,94,83,90,63,83,57,96
15,Lionel Messi,Argentina,94,93,88,84,96,43,72
16,Falcao,Colombia,93,82,89,62,83,56,95
17,Robin van Persie,Holland,93,84,96,88,91,55,77
18,Gareth Bale,Wales,93,96,93,89,93,81,79
19,Cristiano Ronaldo,Portugal,93,93,92,81,93,49,89
20,Xabi Alonso,Spain,93,62,79,93,76,87,72
21,Sergio Ramos,Spain,93,84,66,80,76,91,95
22,Franck Ribéry,France,92,94,86,86,94,47,57
23,Xabi Alonso,Spain,92,62,79,92,75,85,72
24,Sergio Ramos,Spain,92,83,65,79,76,90,95
25,Thiago Silva,Brazil,92,87,68,86,79,94,90
26,Edinson Cavani,Uruguay,92,91,94,75,86,70,90
27,Antonio Di Natale,Italy,92,92,94,89,93,54,70
28,Philipp Lahm,Germany,92,87,62,89,86,89,72
29,Piqué,Spain,92,66,57,81,72,92,88
30,Cristiano Ronaldo,Portugal,92,92,90,80,92,48,87
31,Piqué,Spain,91,66,56,80,70,91,86
32,Marek Hamšik,Slovakia,91,82,89,91,90,77,84
33,Arjen Robben,Holland,91,95,91,88,95,51,63
34,Marco Reus,Germany,91,95,93,87,93,56,68
35,Robert Lewandowski,Poland,91,89,92,74,90,57,90
36,Bastian Schweinsteiger,Germany,91,71,88,92,91,86,80
37,Thomas Müller,Germany,91,90,92,89,89,58,84
38,Luis Suárez,Uruguay,91,88,94,84,95,61,80
39,Eden Hazard,Belgium,91,93,87,89,95,54,67
40,Lionel Messi,Argentina,91,93,99,84,96,43,72
41,Iniesta,Spain,91,76,75,93,92,67,56
42,Franck Ribéry,France,91,93,83,84,93,46,56
43,Robin van Persie,Holland,90,80,93,85,87,51,73
44,Cesc Fàbregas,Spain,90,72,87,94,89,73,75
45,Mario Götze,Germany,90,89,85,90,94,60,68
46,Juan Mata,Spain,90,89,87,88,92,50,70
47,Arjen Robben,Holland,90,94,89,86,94,50,62
48,Dani Alves,Brazil,90,93,76,86,88,86,78
49,Falcao,Colombia,90,80,87,60,80,54,92
50,Wayne Rooney,England,90,80,89,85,85,62,84
51,Franck Ribéry,France,90,93,79,83,93,45,55
52,Xavi,Spain,90,66,73,93,87,68,54
53,Iniesta,Spain,90,75,72,91,91,66,55
54,Falcao,Colombia,89,79,85,59,80,53,91
55,Jesús Navas,Spain,89,95,77,85,90,47,61
56,Sergio Busquets,Spain,89,62,66,84,81,89,79
57,Mario Gomez,Germany,89,78,88,69,79,51,87
58,Mario Balotelli,Italy,89,90,89,77,90,56,79
59,Arturo Vidal,Chile,89,86,84,89,88,90,79
60,Andrea Barzagli,Italy,89,73,52,73,60,91,88
61,Toni Kroos,Germany,89,67,90,93,89,70,64
62,Jefferson Farfán,Peru,89,94,87,89,91,59,72
63,Santi Cazorla,Spain,89,85,88,92,92,55,70
64,Steven Gerrard,England,89,77,91,93,85,80,82
65,Thiago Silva,Brazil,89,84,64,82,75,90,86
66,Robin van Persie,Holland,89,79,92,83,86,50,70
67,Cesc Fàbregas,Spain,89,71,85,93,87,70,73
68,Arjen Robben,Holland,89,93,87,84,93,48,60
69,Falcao,Colombia,89,79,85,59,80,53,91
70,David Silva,Spain,89,80,83,88,89,48,60
71,Marcelo,Brazil,89,87,71,87,88,86,74
72,Zlatan Ibrahimović,Sweden,89,78,90,82,88,52,79
73,Nemanja Vidić,Serbia,89,59,42,59,54,87,92
74,Wayne Rooney,England,89,79,88,83,84,61,82
75,Marek Hamšik,Slovakia,88,79,86,86,86,72,80
76,Philipp Lahm,Germany,88,83,60,87,84,85,68
77,Neymar,Brazil,88,93,88,82,94,48,63
78,Andrea Pirlo,Italy,88,62,79,93,88,74,50
79,Stephan El Shaarawy,Italy,88,89,85,81,90,60,64
80,Mario Mandžukić,Croatia,88,83,87,68,83,57,93
81,Stefan Kießling,Germany,88,83,90,77,77,58,92
82,Rio Ferdinand,England,88,68,53,78,69,91,87
83,Edinson Cavani,Uruguay,88,87,90,70,81,66,87
