,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,99,99,99,99,99,50,70
1,Lionel Messi,Argentina,98,98,98,93,99,50,70
2,Lionel Messi,Argentina,98,99,97,90,99,46,67
3,Cristiano Ronaldo,Portugal,97,97,97,90,98,60,95
4,Xavi,Spain,97,67,85,99,90,68,53
5,Lionel Messi,Argentina,97,97,92,85,99,46,67
6,Lionel Messi,Argentina,96,96,91,85,99,46,67
7,Lionel Messi,Argentina,96,96,91,84,99,46,67
8,Cristiano Ronaldo,Portugal,96,96,96,87,98,59,94
9,Iniesta,Spain,96,80,85,97,99,65,55
10,Iniesta,Spain,95,83,80,99,99,65,55
11,Cristiano Ronaldo,Portugal,95,95,96,85,97,59,92
12,Iniesta,Spain,95,83,82,98,98,65,55
13,Wayne Rooney,England,95,90,99,85,91,71,89
14,Lionel Messi,Argentina,95,94,89,83,98,46,67
15,Xavi,Spain,94,70,84,97,91,68,53
16,Zlatan Ibrahimović,Sweden,94,85,96,90,93,65,90
17,Robin van Persie,Holland,94,86,96,86,91,57,77
18,Cristiano Ronaldo,Portugal,94,94,95,84,96,59,91
19,Iniesta,Spain,94,82,78,97,96,65,55
20,Nemanja Vidić,Serbia,94,70,60,65,60,96,99
21,Lionel Messi,Argentina,94,93,87,82,97,46,67
22,Sergio Ramos,Spain,93,87,65,86,85,95,98
23,Xabi Alonso,Spain,93,70,85,97,85,93,86
24,Klaas Jan Huntelaar,Holland,93,83,95,75,85,55,93
25,Wayne Rooney,England,93,88,95,83,91,71,87
26,Piqué,Spain,93,66,75,80,75,97,90
27,Iniesta,Spain,93,80,75,95,95,65,55
28,Cristiano Ronaldo,Portugal,93,93,92,80,94,59,90
29,Thiago Silva,Brazil,92,86,72,86,72,97,95
30,Franck Ribéry,France,92,95,91,93,98,50,54
31,Mario Gomez,Germany,92,86,94,72,86,60,91
32,Wayne Rooney,England,92,84,93,81,86,71,81
33,Cristiano Ronaldo,Portugal,92,92,90,79,93,59,89
34,Xavi,Spain,92,67,72,92,85,68,53
