,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,95,97,93,85,99,54,64
1,Lionel Messi,Argentina,94,96,91,81,99,54,64
2,David Villa,Spain,93,90,95,75,89,64,76
3,Cristiano Ronaldo,Portugal,93,92,89,79,93,64,88
4,Maicon,Brazil,92,91,89,84,91,88,82
5,Wayne Rooney,England,92,87,92,86,90,74,76
6,David Villa,Spain,92,88,94,75,88,64,76
7,Fernando Torres,Spain,92,94,93,67,88,64,85
8,Puyol,Spain,91,70,48,70,61,94,93
9,Carlos Tévez,Argentina,91,90,95,80,89,75,69
10,Didier Drogba,Ivory Coast,91,84,93,64,87,69,94
11,Maicon,Brazil,91,90,82,84,87,87,78
12,Francesco Totti,Italy,91,78,92,92,92,65,65
13,Diego Forlán,Uruguay,91,86,96,68,88,60,86
14,Lionel Messi,Argentina,91,94,85,81,96,54,64
15,Diego Milito,Argentina,90,86,92,64,89,66,86
16,Sergio Ramos,Spain,90,83,58,80,82,91,88
17,Michaël Essien,Ghana,90,83,83,86,83,93,90
18,Frank Lampard,England,90,74,94,91,85,80,70
19,Nicolas Anelka,France,90,91,90,70,86,64,85
20,Robin van Persie,Netherlands,90,85,92,82,88,59,63
21,Dani Alves,Brazil,90,90,80,85,88,90,71
22,Xavi,Spain,90,78,81,99,94,72,58
23,Arjen Robben,Netherlands,90,92,92,87,94,60,60
24,Didier Drogba,Ivory Coast,90,84,91,64,84,69,92
25,Francesc Fabregas,Spain,90,82,89,96,91,73,64
26,Kaká,Brazil,90,93,90,92,94,60,64
27,Antonio Di Natale,Italy,90,90,92,83,89,64,70
28,Puyol,Spain,90,70,48,70,61,94,88
29,Carlos Tévez,Argentina,90,88,94,77,88,70,69
30,Zlatan Ibrahimović,Sweden,90,81,88,77,93,72,83
31,Steven Gerrard,England,90,82,89,93,79,82,70
32,Alexandre Pato,Brazil,89,90,90,67,90,57,82
33,Ronaldinho,Brazil,89,77,89,89,95,56,67
34,Giorgio Chiellini,Italy,89,80,65,76,59,90,90
35,Emmanuel Adebayor,Togo,89,87,90,68,86,67,89
36,Fabrizio Miccoli,Italy,89,87,90,75,88,60,65
37,Iniesta,Spain,89,85,88,93,94,68,56
38,Gonzalo Higuaín,Argentina,89,90,88,72,87,57,75
39,Lúcio,Brazil,89,82,65,60,80,90,89
40,Francesc Fabregas,Spain,89,80,87,94,89,73,64
41,Carlos Tévez,Argentina,89,88,92,73,85,70,69
42,Mikel Arteta,Spain,89,79,90,92,90,75,74
43,Xavi,Spain,89,78,81,97,93,72,58
44,Arjen Robben,Netherlands,89,92,90,85,92,60,60
45,Maicon,Brazil,89,89,75,84,84,85,78
46,David Villa,Spain,89,86,89,72,86,64,74
47,Wayne Rooney,England,89,84,89,83,87,71,73
48,Fernando Torres,Spain,89,93,85,67,86,64,82
49,Samuel Eto'o,Cameroon,89,92,86,73,85,63,80
50,Francesco Totti,Italy,89,78,88,91,91,65,65
51,Alessandro Del Piero,Italy,89,79,89,84,92,61,63
52,Ashley Cole,England,88,91,80,88,88,80,73
53,Nemanja Vidić,Serbia,88,74,50,65,52,93,94
54,Rodrigo Palacio,Argentina,88,89,89,80,86,56,75
55,Miroslav Klose,Germany,88,85,90,75,80,64,92
56,Fabio Quagliarella,Italy,88,84,90,75,84,67,76
57,Mamadou Niang,Senegal,88,84,88,75,88,62,85
58,Yoann Gourcuff,France,88,80,89,87,87,72,84
59,Nicolas Anelka,France,88,88,88,65,84,64,82
60,Andrei Murgu,Romania,88,84,85,81,91,58,72
61,Dani Alves,Brazil,88,89,76,85,84,84,71
62,Antonio Di Natale,Italy,88,88,86,83,87,64,66
63,Robin van Persie,Netherlands,88,83,89,80,85,59,63
64,Antonio Cassano,Italy,88,78,85,89,94,62,65
65,Thierry Henry,France,88,86,87,75,91,58,66
66,Vincent Kompany,Belgium,87,85,75,85,75,88,83
67,Patrice Evra,France,87,89,60,85,87,83,78
68,Mirko Vučinić,Montenegro,87,85,91,64,83,64,80
69,Wesley Sneijder,Netherlands,87,80,87,92,90,59,56
70,Luis Suárez,Uruguay,87,83,86,74,88,65,70
71,Ludovic Giuly,France,87,89,85,85,86,55,58
72,Jermain Defoe,England,87,90,88,65,87,56,69
73,Lucho González,Argentina,87,80,85,88,86,74,77
74,Lisandro López,Argentina,87,88,88,75,82,82,80
75,Taye Ismaila Taiwo,Nigeria,87,86,89,77,54,87,86
76,Alexandre Pato,Brazil,87,90,82,67,88,57,78
77,Mauro Matías Zárate,Argentina,87,90,83,68,90,60,68
78,Michaël Essien,Ghana,87,83,78,83,80,89,78
79,Didier Drogba,Ivory Coast,87,81,86,64,83,69,92
80,Ronaldinho,Brazil,87,77,85,82,91,56,67
81,Xavi,Spain,87,78,79,94,88,72,58
82,Frank Lampard,England,87,74,91,88,81,77,70
83,Stewart Downing,England,86,86,80,87,86,53,64
84,Ibrahim Afellay,Netherlands,86,86,88,85,87,57,54
85,Klaas Jan Huntelaar,Netherlands,86,80,89,60,80,63,86
86,Samir Nasri,France,86,81,85,86,88,64,64
87,Jimmy Briand,France,86,87,86,80,88,68,75
88,Mesut Özil,Germany,86,85,80,88,90,52,58
89,Edin Džeko,Bosnia Herzegovina,86,81,89,67,84,60,80
90,Bastian Schweinsteiger,Germany,86,72,87,85,86,61,60
91,Mata,Spain,86,87,80,80,87,54,70
92,Stéphane Sessègnon,Benin,86,82,85,85,92,71,68
93,Xabi Alonso,Spain,86,70,85,90,75,85,70
94,Gareth Bale,Wales,86,88,85,75,86,75,70
95,Hulk,Brazil,86,91,82,71,88,70,62
96,Karim Benzema,France,86,87,82,68,88,66,78
97,Francesc Fabregas,Spain,86,74,80,93,84,73,64
98,Fabio Quagliarella,Italy,86,84,86,72,81,67,74
99,Sergio Ramos,Spain,86,83,58,75,79,84,88
100,Amauri,Brazil,86,82,82,69,85,68,89
101,Andrey Arshavin,Russia,86,87,82,84,92,59,50
102,Carlos Tévez,Argentina,86,85,85,73,83,70,69
103,Giorgio Chiellini,Italy,86,80,59,74,59,86,86
104,Kaká,Brazil,86,93,87,83,93,60,64
105,Kolo Touré,Ivory Coast,86,79,63,60,66,87,86
106,Lúcio,Brazil,86,82,65,53,76,86,85
107,Daniele De Rossi,Italy,86,79,81,83,77,86,85
108,Emmanuel Adebayor,Togo,86,84,81,68,83,67,89
109,Diego Forlán,Uruguay,86,83,85,68,82,60,82
110,Puyol,Spain,86,70,48,70,61,91,85
111,Nicolas Anelka,France,86,88,83,61,82,64,82
112,Javier Zanetti,Argentina,86,83,60,77,84,85,66
113,Dirk Kuyt,Netherlands,85,80,85,80,79,78,88
114,Landon Donovan,United States,85,90,85,80,84,59,66
115,David Pizarro,Chile,85,80,80,88,86,82,60
116,Nilmar,Brazil,85,90,83,60,87,49,76
117,Cacau,Germany,85,88,88,59,82,52,74
118,Asamoah Gyan,Ghana,85,85,87,65,80,60,79
119,Jesús Navas,Spain,85,89,80,85,89,54,60
120,Piqué,Spain,85,72,50,77,60,87,87
121,Ruud Van Nistelrooy,Netherlands,85,67,87,70,83,66,80
122,Gonzalo Higuaín,Argentina,85,88,79,72,85,57,72
123,Filipe,Brazil,85,87,74,82,85,79,74
124,Bacary Sagna,France,85,84,56,78,79,83,78
125,Giuseppe Rossi,Italy,85,86,82,72,86,57,64
126,Abdulkader Keita,Ivory Coast,85,90,78,74,81,65,78
127,Sergio Agüero,Argentina,85,88,78,76,92,54,63
128,Rodrigo Palacio,Argentina,85,87,81,77,82,56,71
129,Lukas Podolski,Germany,85,89,85,67,82,51,65
130,Giuseppe Mascara,Italy,85,80,82,82,83,66,75
131,Raúl Meireles,Portugal,85,80,79,86,78,78,70
132,Lisandro López,Argentina,85,86,81,69,82,69,80
133,Diego Milito,Argentina,85,84,83,64,81,66,84
134,Nemanja Vidić,Serbia,85,74,46,59,52,89,93
135,Esteban Cambiasso,Argentina,85,80,70,84,80,87,77
136,Luís Fabiano,Brazil,85,84,83,59,86,62,82
137,Robinho,Brazil,85,88,79,74,94,54,56
138,Nihat,Turkey,85,88,82,75,82,58,64
139,Gaetano D'Agostino,Italy,85,74,77,90,79,77,66
140,Fabrizio Miccoli,Italy,85,85,83,75,87,60,57
141,Mikel Arteta,Spain,85,79,80,84,85,75,74
142,Mamadou Niang,Senegal,85,82,82,67,86,62,82
143,Dimitar Berbatov,Bulgaria,85,73,84,73,84,63,86
144,Michael Ballack,Germany,85,73,84,85,74,82,88
145,Iniesta,Spain,85,83,75,90,91,68,56
146,Stéphane M'Bia,Cameroon,84,77,73,69,66,87,89
147,Javier Mascherano,Argentina,84,75,65,84,75,88,60
148,Juan,Brazil,84,75,50,65,62,86,90
149,Adam Johnson,England,84,85,75,82,86,54,48
150,Nedum Onuoha,England,84,87,70,60,54,83,75
151,Per Mertesacker,Germany,84,75,70,60,50,87,88
152,Zvjezdan Misimović,Bosnia Herzegovina,84,70,85,89,87,60,58
153,Arne Friedrich,Germany,84,78,48,65,65,85,87
154,Thomas Vermaelen,Belgium,84,71,67,69,59,87,84
155,Eden Hazard,Belgium,84,87,76,75,85,53,66
156,Luke Young,England,84,82,78,84,82,82,72
157,Mario Barwuah Balotelli,Italy,84,84,81,65,82,68,75
158,Eduardo,Croatia,84,85,81,68,84,60,72
159,Luis Suárez,Uruguay,84,81,81,74,86,65,70
160,Cristian Rodríguez,Uruguay,84,88,77,74,83,69,78
161,Taye Ismaila Taiwo,Nigeria,84,84,71,77,54,82,81
162,João Moutinho,Portugal,84,85,79,81,82,72,70
163,Ezequiel Lavezzi,Argentina,84,89,77,72,91,60,62
164,Franck Ribéry,France,84,93,80,82,93,57,56
165,Yuriy Zhirkov,Russia,84,85,73,81,86,75,60
166,Yoann Gourcuff,France,84,78,83,82,87,72,74
167,André-Pierre Gignac,France,84,81,84,74,78,64,76
168,Mario Gomez,Germany,84,84,79,65,79,66,88
169,Lucho González,Argentina,84,80,78,85,84,74,77
170,Michel Bastos,Brazil,84,85,82,78,82,74,72
171,Vincent Kompany,Belgium,84,82,65,71,70,82,75
172,Bruno Alves,Portugal,84,74,66,64,68,85,89
173,Goran Pandev,FYR Macedonia,84,85,80,72,86,67,70
174,Julio Baptista,Brazil,84,80,82,71,82,72,78
175,Diego,Brazil,84,80,85,86,91,58,56
176,Marouane Chamakh,Morocco,84,77,79,72,81,75,92
177,Mirko Vučinić,Montenegro,84,83,82,64,81,64,76
178,Alberto Aquilani,Italy,84,78,79,83,84,74,66
179,Patrice Evra,France,84,89,60,80,84,79,78
180,Mauro German Camoranesi,Italy,84,80,78,83,88,74,76
181,Sidney Govou,France,84,82,79,77,78,61,82
182,Joseph Yobo,Nigeria,84,87,46,58,74,82,84
183,Michael Carrick,England,84,74,76,86,74,82,72
184,Iván Córdoba,Colombia,84,89,48,59,54,83,84
185,Miroslav Klose,Germany,84,85,78,65,79,64,92
186,Landon Donovan,United States,84,89,80,73,82,61,68
187,Rio Ferdinand,England,84,75,45,65,61,87,88
188,Gareth Barry,England,84,67,78,88,78,82,76
189,William Gallas,France,84,82,45,60,53,85,86
190,Alessandro Gamberini,Italy,84,84,42,60,61,84,84
191,Miguel,Portugal,84,85,61,72,77,81,68
192,Ludovic Giuly,France,84,87,79,81,83,55,58
193,Arda Turan,Turkey,83,83,80,82,90,58,65
194,Fábio Coentrão,Portugal,83,83,75,75,83,77,62
195,Loïc Remy,France,83,83,81,80,84,58,76
196,Nenê,Brazil,83,80,87,80,84,54,71
197,Andrew Carroll,England,83,79,86,70,70,51,86
