,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,98,97,96,92,99,52,77
1,Lionel Messi,Argentina,98,97,96,92,99,52,77
2,Cristiano Ronaldo,Portugal,98,98,97,87,98,54,92
3,Lionel Messi,Argentina,98,97,96,92,99,52,77
4,Lionel Messi,Argentina,97,95,95,91,98,50,75
5,Lionel Messi,Argentina,97,95,95,91,98,50,75
6,Cristiano Ronaldo,Portugal,97,96,96,85,96,53,91
7,Lionel Messi,Argentina,96,93,93,88,97,46,71
8,Zlatan Ibrahimović,Sweden,96,82,98,88,94,58,87
9,Franck Ribéry,France,96,96,89,91,98,54,62
10,Cristiano Ronaldo,Portugal,95,95,95,83,94,51,90
11,Zlatan Ibrahimović,Sweden,95,81,96,87,92,57,85
12,Luis Suárez,Uruguay,95,89,98,86,98,64,88
13,Lionel Messi,Argentina,95,92,91,86,96,45,70
14,Xavi,Spain,95,72,80,97,93,74,60
15,Iniesta,Spain,95,80,80,97,97,71,61
16,Eden Hazard,Belgium,94,94,96,94,95,56,70
17,Philipp Lahm,Germany,94,85,64,92,88,92,75
18,Thiago Silva,Brazil,94,87,68,81,79,95,91
19,Cristiano Ronaldo,Portugal,94,94,94,81,93,50,89
20,Lionel Messi,Argentina,94,92,89,84,96,44,69
21,Zlatan Ibrahimović,Sweden,93,80,95,86,91,57,84
22,Gareth Bale,Wales,93,96,95,91,92,80,82
23,Arjen Robben,Netherlands,93,95,96,90,97,55,68
24,Sergio Agüero,Argentina,93,93,95,84,95,51,81
25,David Silva,Spain,93,85,86,92,94,52,67
26,Sergio Ramos,Spain,93,86,68,81,79,92,94
27,Cristiano Ronaldo,Portugal,93,93,92,80,92,49,87
28,Arjen Robben,Netherlands,92,94,93,88,95,53,65
29,Philipp Lahm,Germany,92,84,63,90,86,88,73
30,Eden Hazard,Belgium,92,93,93,93,94,53,67
31,Luis Suárez,Uruguay,92,86,95,83,95,61,84
32,Philipp Lahm,Germany,92,84,63,90,86,88,73
33,Cristiano Ronaldo,Portugal,92,93,90,79,91,48,86
34,Arjen Robben,Netherlands,92,94,93,88,95,53,65
35,Luis Suárez,Uruguay,92,86,95,83,95,61,84
36,Eden Hazard,Belgium,92,93,93,93,94,53,67
37,Thiago Silva,Brazil,92,85,66,79,77,93,89
38,Carlos Tévez,Argentina,92,88,94,86,91,63,80
39,Philipp Lahm,Germany,92,84,63,90,86,88,73
40,Robert Lewandowski,Poland,92,88,92,77,91,59,89
41,Yaya Touré,Ivory Coast,92,83,86,87,86,89,90
42,Wayne Rooney,England,92,81,93,90,87,63,86
43,Zlatan Ibrahimović,Sweden,92,79,94,85,91,57,84
44,Cristiano Ronaldo,Portugal,92,93,90,79,91,48,86
45,Iniesta,Spain,91,77,76,95,95,68,59
46,Arjen Robben,Netherlands,91,93,91,86,94,52,64
47,Iniesta,Spain,91,77,76,95,95,68,59
48,Ángel Di María,Argentina,91,92,87,90,91,62,70
