,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,99,97,99,98,99,45,82
1,Cristiano Ronaldo,Portugal,99,98,99,91,99,48,92
2,Cristiano Ronaldo,Portugal,99,98,99,92,98,50,94
3,Gonzalo Higuaín,Argentina,98,89,99,91,98,50,96
4,Neymar,Brazil,98,97,98,97,99,48,83
5,Robert Lewandowski,Poland,98,89,99,93,98,57,97
6,Eden Hazard,Belgium,98,98,96,96,99,50,84
7,Cristiano Ronaldo,Portugal,98,96,97,90,96,42,88
8,Cristiano Ronaldo,Portugal,98,96,97,90,96,42,88
9,Lionel Messi,Argentina,98,97,99,97,99,45,80
10,Luis Suárez,Uruguay,98,93,99,92,97,60,93
11,Lionel Messi,Argentina,97,93,97,95,99,40,77
12,Neymar,Brazil,97,96,94,93,98,41,78
13,Luis Suárez,Uruguay,97,87,98,91,95,55,91
14,Zlatan Ibrahimović,Sweden,97,82,99,96,97,52,98
15,Neymar,Brazil,97,96,93,92,99,42,77
16,Cristiano Ronaldo,Portugal,97,95,96,87,95,40,86
17,Robert Lewandowski,Poland,96,87,96,90,94,53,93
18,Francesco Totti,Italy,96,89,97,99,97,35,88
19,Giorgio Chiellini,Italy,96,82,62,70,75,99,98
20,Diego Godín,Uruguay,96,73,68,85,82,98,96
21,Isco,Spain,96,84,97,98,98,65,90
22,Lionel Messi,Argentina,96,92,95,91,99,35,71
23,Neymar,Brazil,96,95,92,91,99,40,74
24,Sergio Ramos,Spain,96,85,77,86,87,97,96
25,Luka Modrić,Croatia,96,80,85,96,97,83,80
26,Cristiano Ronaldo,Portugal,96,94,94,85,94,37,84
27,Philipp Lahm,Germany,95,89,74,97,98,98,85
28,Paulo Dybala,Argentina,95,97,98,97,99,45,88
29,Dries Mertens,Belgium,95,99,98,97,98,60,80
30,Sergio Ramos,Spain,95,84,76,84,86,95,95
31,Antoine Griezmann,France,95,93,95,92,96,45,82
32,Thiago Silva,Brazil,95,80,70,85,86,98,90
33,Alexandre Lacazette,France,95,96,97,94,98,53,94
34,Edinson Cavani,Uruguay,95,87,99,93,96,67,96
35,Thiago,Spain,95,84,95,98,99,81,86
36,Arjen Robben,Netherlands,95,94,96,95,98,51,83
37,Pierre-Emerick Aubame...,Gabon,95,99,97,92,94,52,90
38,Alexis Sánchez,Chile,95,93,97,93,98,50,92
39,Kevin De Bruyne,Belgium,95,84,95,97,96,55,90
40,Edinson Cavani,Uruguay,95,87,99,93,96,67,96
41,Gonzalo Higuaín,Argentina,95,86,97,85,94,43,90
42,Zlatan Ibrahimović,Sweden,95,77,96,92,93,47,95
43,Robert Lewandowski,Poland,95,86,94,87,93,50,92
44,Lionel Messi,Argentina,95,91,93,89,98,33,68
45,Neymar,Brazil,95,94,90,89,98,38,70
46,Piqué,Spain,95,74,75,83,76,95,87
47,Toni Kroos,Germany,95,60,90,98,88,80,80
48,Iniesta,Spain,95,80,82,97,97,70,72
49,Cristiano Ronaldo,Portugal,95,93,93,83,92,35,82
50,Steven Gerrard,England,94,84,94,98,85,84,92
51,Frank Lampard,England,94,80,96,93,88,78,90
52,Xabi Alonso,Spain,94,78,90,98,91,94,88
53,Mauro Icardi,Argentina,94,90,98,85,96,40,90
54,Marek Hamšik,Slovakia,94,84,95,96,97,85,92
55,Lorenzo Insigne,Italy,94,99,93,95,98,45,80
56,Radja Nainggolan,Belgium,94,90,94,95,96,94,95
57,Toni Kroos,Germany,94,51,88,97,86,78,79
58,Marco Verratti,Italy,94,78,80,96,98,93,86
59,Mats Hummels,Germany,94,71,70,90,88,97,93
60,Philipp Lahm,Germany,94,75,70,95,96,94,80
61,Diego Costa,Spain,94,85,98,89,95,56,98
62,Harry Kane,England,94,85,98,94,95,62,96
63,Romelu Lukaku,Belgium,94,92,99,90,94,55,97
64,Eden Hazard,Belgium,94,94,92,92,97,45,78
65,Gonzalo Higuaín,Argentina,94,85,96,82,93,40,88
66,Robert Lewandowski,Poland,94,85,93,85,92,47,91
67,Zlatan Ibrahimović,Sweden,94,76,95,91,92,45,94
68,Luis Suárez,Uruguay,94,84,93,85,91,48,84
69,Luis Suárez,Uruguay,94,84,94,84,91,46,84
70,Neymar,Brazil,94,93,89,87,97,35,64
