,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Lionel Messi,Argentina,96,94,96,96,99,55,66
1,Lionel Messi,Argentina,95,93,95,90,99,55,66
2,Cristiano Ronaldo,Portugal,94,96,99,88,97,66,94
3,Lionel Messi,Argentina,93,92,93,88,97,55,66
4,Cristiano Ronaldo,Portugal,93,96,97,85,96,66,90
5,Cristiano Ronaldo,Portugal,92,95,95,80,93,66,90
6,Lionel Messi,Argentina,92,91,92,85,97,55,66
7,Xavi,Spain,91,82,80,99,97,77,62
8,Iniesta,Spain,91,83,85,96,97,68,55
9,Puyol,Spain,90,69,48,75,64,97,90
10,Xavi,Spain,90,80,80,99,95,73,57
11,Iniesta,Spain,90,81,80,94,95,68,55
12,Wayne Rooney,England,90,88,93,88,90,79,82
13,Steven Gerrard,England,90,87,90,94,85,73,77
14,David Villa,Spain,90,88,95,75,88,64,75
15,Lionel Messi,Argentina,90,90,86,82,96,55,66
16,Zlatan Ibrahimović,Sweden,89,85,92,85,94,67,84
17,Samir Nasri,France,89,86,89,92,94,67,64
18,Francesc Fabregas,Spain,89,83,87,93,90,76,64
19,Wesley Sneijder,Netherlands,89,84,88,93,90,69,57
20,Wayne Rooney,England,89,87,91,87,88,79,82
21,Sergio Agüero,Argentina,89,90,92,85,96,62,73
22,David Villa,Spain,89,87,95,76,87,68,84
23,Puyol,Spain,89,69,48,75,64,95,87
24,Xavi,Spain,89,80,80,96,94,73,57
25,Iniesta,Spain,89,81,75,92,94,68,55
26,Nemanja Vidić,Serbia,89,72,46,65,55,94,97
27,Arjen Robben,Netherlands,89,91,92,89,96,58,54
28,Piqué,Spain,89,74,58,80,80,91,92
29,Dani Alves,Brazil,89,91,88,89,90,86,80
30,Lúcio,Brazil,89,80,65,65,82,90,90
31,Didier Drogba,Ivory Coast,89,87,90,70,85,72,94
32,Maicon,Brazil,89,89,79,86,88,90,76
33,Carlos Tévez,Argentina,89,88,94,81,91,77,76
34,Cristiano Ronaldo,Portugal,89,94,90,78,93,66,89
35,Samuel Eto'o,Cameroon,88,91,91,79,89,65,83
36,Edinson Cavani,Uruguay,88,89,93,74,86,63,91
37,Rafael van der Vaart,Netherlands,88,77,91,92,90,60,61
38,Piqué,Spain,88,72,50,80,75,87,89
39,Nemanja Vidić,Serbia,88,69,46,59,52,90,93
40,Carlos Tévez,Argentina,88,87,90,75,87,73,71
41,Arjen Robben,Netherlands,88,91,91,87,95,58,54
42,Dani Alves,Brazil,88,90,88,87,88,84,75
43,Lúcio,Brazil,88,80,65,60,80,88,88
44,Samir Nasri,France,88,84,85,88,90,67,64
45,Falcao,Colombia,88,85,91,79,86,64,95
46,Francesc Fabregas,Spain,88,82,86,92,88,76,64
47,Sergio Agüero,Argentina,88,87,90,77,95,59,69
48,Robin van Persie,Netherlands,88,88,94,90,92,62,64
49,Wesley Sneijder,Netherlands,88,81,86,93,89,69,57
50,Kaká,Brazil,88,89,91,87,94,58,62
51,Diego Forlán,Uruguay,88,85,92,75,84,62,82
52,Philipp Lahm,Germany,88,88,59,89,88,84,72
53,Dimitar Berbatov,Bulgaria,88,78,97,82,92,60,88
54,Sergio Agüero,Argentina,88,89,90,80,95,59,69
55,Alex,Brazil,88,81,91,90,95,56,65
56,Ronaldinho,Brazil,88,79,92,93,98,57,62
57,Lisandro López,Argentina,88,91,92,78,85,71,86
58,Edin Džeko,Bosnia Herzegovina,88,82,91,72,84,62,82
59,David Villa,Spain,88,86,90,73,86,64,75
60,Wayne Rooney,England,88,85,87,84,86,79,82
61,Didier Drogba,Ivory Coast,88,85,88,68,83,72,92
62,Mesut Özil,Germany,87,87,85,90,94,55,56
63,Hulk,Brazil,87,88,88,80,90,73,68
64,Mario Gomez,Germany,87,86,93,72,87,65,90
65,Nani,Portugal,87,90,87,88,93,58,53
66,Gareth Bale,Wales,87,88,88,88,90,82,70
67,Robin van Persie,Netherlands,87,86,91,85,87,62,64
68,Alex,Brazil,87,80,89,88,93,54,60
69,Ángel Di María,Argentina,87,90,87,84,91,59,61
70,Philipp Lahm,Germany,87,86,59,87,86,81,72
71,Edinson Cavani,Uruguay,87,87,90,69,83,63,88
72,Dimitar Berbatov,Bulgaria,87,71,95,76,90,60,84
73,Xabi Alonso,Spain,87,75,78,94,79,85,70
74,Zlatan Ibrahimović,Sweden,87,85,90,85,90,67,76
75,Sergio Ramos,Spain,87,87,62,77,82,86,91
76,Lisandro López,Argentina,87,90,90,73,83,71,82
77,Giorgio Chiellini,Italy,87,84,58,67,40,88,92
78,Ashley Young,England,87,92,86,81,92,49,44
79,Soldado,Spain,87,85,94,62,88,68,85
80,Dani Alves,Brazil,87,90,85,85,87,83,75
81,David Silva,Spain,87,87,83,84,90,57,59
82,Bastian Schweinsteiger,Germany,87,74,84,89,88,84,78
83,Falcao,Colombia,87,85,89,75,82,64,93
84,Rafael van der Vaart,Netherlands,87,74,88,88,87,57,58
85,Francesco Totti,Italy,87,78,91,90,89,64,65
86,Antonio Cassano,Italy,87,80,88,90,94,62,64
87,Danny,Portugal,87,87,90,85,91,62,54
88,Antonio Di Natale,Italy,87,88,90,84,90,61,64
89,Marek Hamšik,Slovakia,87,87,87,87,88,72,83
90,Alessandro Nesta,Italy,87,76,36,66,67,87,92
91,Franck Ribéry,France,87,91,86,83,94,56,56
92,Gonzalo Higuaín,Argentina,87,88,90,75,86,60,74
93,Diego Forlán,Uruguay,87,84,89,72,82,62,80
94,Puyol,Spain,87,69,48,69,59,85,87
95,Xavi,Spain,87,73,77,93,88,73,57
96,Arjen Robben,Netherlands,87,91,85,81,92,58,54
97,Frank Lampard,England,87,74,90,89,81,77,70
98,Iniesta,Spain,87,81,73,90,92,68,55
99,Nemanja Vidić,Serbia,87,69,46,59,52,84,92
100,Miloš Krasić,Serbia,86,91,86,88,91,66,75
101,Nuri Sahin,Turkey,86,78,80,90,90,74,58
102,Luka Modrić,Croatia,86,82,85,91,91,68,62
103,Mats Hummels,Germany,86,76,58,76,66,90,90
104,Thiago Silva,Brazil,86,87,70,74,79,87,89
105,Alexis Sánchez,Chile,86,90,86,82,94,60,70
106,Nenê,Brazil,86,86,88,84,90,56,76
107,Kolo Touré,Ivory Coast,86,76,63,67,71,85,88
108,Pepe,Portugal,86,77,48,67,65,88,89
109,Ashley Young,England,86,91,84,80,90,49,44
110,Esteban Cambiasso,Argentina,86,80,81,82,81,82,78
111,Frédéric Kanouté,Mali,86,77,86,68,85,64,84
112,Luís Fabiano,Brazil,86,84,90,65,86,63,82
113,Soldado,Spain,86,83,92,60,86,68,81
114,Mesut Özil,Germany,86,87,80,87,92,55,56
115,Piqué,Spain,86,72,58,77,71,84,85
116,Jesús Navas,Spain,86,90,75,87,90,55,60
117,Santi Cazorla,Spain,86,86,80,89,89,58,68
118,Mata,Spain,86,83,84,88,93,58,71
119,Welliton,Brazil,86,87,86,72,78,65,86
120,Antonio Di Natale,Italy,86,87,88,84,88,61,64
121,Ricardo Carvalho,Portugal,86,70,43,62,49,87,88
122,Ángel Di María,Argentina,86,88,85,82,89,56,58
123,Alex,Brazil,86,75,88,87,92,54,60
124,Juan,Brazil,86,75,43,61,55,84,88
125,Mario Gomez,Germany,86,84,92,72,85,65,88
126,Lisandro López,Argentina,86,90,88,71,82,71,82
127,Yaya Touré,Ivory Coast,86,76,82,76,80,83,80
128,Javier Hernández,Mexico,86,89,87,71,86,60,81
129,Bacary Sagna,France,86,83,56,82,81,88,84
130,Luis Suárez,Uruguay,86,84,84,84,90,75,69
131,Ronaldinho,Brazil,86,78,88,91,96,57,62
132,Javier Mascherano,Argentina,86,75,62,86,78,90,57
133,Edinson Cavani,Uruguay,86,85,86,65,80,63,87
134,Marek Hamšik,Slovakia,86,85,86,84,85,69,79
135,Balázs Dzsudzsák,Hungary,86,86,86,87,88,59,56
136,Giampaolo Pazzini,Italy,86,83,89,67,88,62,88
137,Samuel Eto'o,Cameroon,86,91,88,75,86,65,80
138,Giuseppe Rossi,Italy,86,88,91,83,91,55,69
139,Ezequiel Lavezzi,Argentina,86,92,87,80,93,58,51
140,Hulk,Brazil,86,88,86,78,88,71,68
141,Ashley Cole,England,86,87,63,85,85,86,81
142,Karim Benzema,France,86,90,87,77,88,59,80
143,Louis Saha,France,86,86,90,55,87,66,84
144,Eden Hazard,Belgium,86,89,83,84,90,56,66
145,Eric Abidal,France,86,87,36,83,72,88,83
146,Scott Parker,England,86,82,85,90,82,84,78
147,Alexandre Pato,Brazil,86,92,89,76,92,58,79
148,Samuel Eto'o,Cameroon,86,91,87,75,86,65,80
149,Zlatan Ibrahimović,Sweden,86,80,89,80,91,67,80
150,Francesc Fabregas,Spain,86,76,82,90,85,76,64
151,Maicon,Brazil,86,87,79,84,84,85,76
152,Philipp Lahm,Germany,86,84,59,84,83,75,66
153,Fernando Torres,Spain,86,88,84,67,84,63,82
154,Steven Gerrard,England,86,80,87,89,77,80,70
155,John Terry,England,86,65,47,63,50,82,92
156,Carlos Tévez,Argentina,86,84,87,73,84,73,71
157,Wesley Sneijder,Netherlands,86,79,82,91,86,69,57
158,Kaká,Brazil,86,86,86,82,90,58,62
159,Franck Ribéry,France,86,90,80,81,92,56,56
160,Diego Milito,Argentina,86,86,85,67,86,67,85
161,Hernanes,Brazil,85,81,87,91,91,79,64
162,Arturo Vidal,Chile,85,84,80,84,85,83,75
163,Gervinho,Ivory Coast,85,87,85,82,89,65,74
164,Moussa Sow,France,85,84,89,75,84,60,80
165,Eden Hazard,Belgium,85,89,82,84,88,56,66
166,Eric Abidal,France,85,83,36,71,65,86,80
167,Mata,Spain,85,82,80,80,90,53,68
168,Nani,Portugal,85,88,84,85,90,58,48
169,Francesco Totti,Italy,85,75,90,89,88,64,60
170,Thiago Silva,Brazil,85,86,70,72,77,84,87
171,Emmanuel Adebayor,Togo,85,83,86,73,85,65,88
172,Juan Manuel Vargas,Peru,85,86,86,86,87,80,66
173,Karim Benzema,France,85,89,86,75,87,59,80
174,Alexis Sánchez,Chile,85,89,84,77,92,60,61
175,Borja Valero,Spain,85,78,84,92,88,72,63
176,Mats Hummels,Germany,85,75,58,75,64,88,89
177,Brede Hangeland,Norway,85,69,68,67,53,85,90
178,Claudio Pizarro,Peru,85,79,88,60,80,65,93
179,Mladen Petrić,Croatia,85,77,88,71,80,60,82
180,Mesut Özil,Germany,85,85,80,85,90,55,56
181,Raúl Albiol,Spain,85,75,54,72,70,89,82
182,Luis Suárez,Uruguay,85,82,84,83,89,69,69
183,Nuri Sahin,Turkey,85,75,78,87,85,71,58
184,Javier Hernández,Mexico,85,87,85,66,84,60,81
185,Falcao,Colombia,85,82,87,75,82,64,88
186,Giampaolo Pazzini,Italy,85,83,85,67,86,67,88
187,Pedro,Spain,85,87,77,85,90,60,65
188,Mario Gomez,Germany,85,82,89,64,80,65,88
189,Luisão,Brazil,85,70,58,70,61,84,89
190,Fabrizio Miccoli,Italy,85,89,89,79,90,61,56
191,Javi Martinez,Spain,85,75,76,81,81,87,84
192,Gareth Barry,England,85,70,83,86,80,83,76
193,Luis Antonio Valencia,Ecuador,85,87,79,81,89,74,66
194,Klaas Jan Huntelaar,Netherlands,85,80,88,73,80,63,88
