,NAME,NATIONALITY,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
0,Cristiano Ronaldo,Portugal,99,98,99,90,99,42,89
1,Cristiano Ronaldo,Portugal,98,98,99,89,98,41,88
2,Lionel Messi,Argentina,98,97,96,94,99,41,74
3,Lionel Messi,Argentina,97,97,96,93,98,49,73
4,Cristiano Ronaldo,Portugal,97,97,98,88,97,40,87
5,Cristiano Ronaldo,Portugal,97,97,98,88,97,40,87
6,Lionel Messi,Argentina,96,96,94,91,98,35,69
7,Zlatan Ibrahimović,Sweden,96,84,98,91,97,45,97
8,Luis Suárez,Uruguay,96,92,99,92,98,55,94
9,Lionel Messi,Argentina,96,96,94,91,98,35,69
10,Cristiano Ronaldo,Portugal,96,96,97,87,96,39,86
11,Lionel Messi,Argentina,96,96,94,91,98,35,69
12,Arjen Robben,Netherlands,96,98,95,90,98,40,72
13,Neymar,Brazil,95,98,94,85,99,45,75
14,Arjen Robben,Netherlands,95,97,94,89,97,39,71
15,Eden Hazard,Belgium,95,95,91,94,98,43,77
16,Elio Castro,Mexico,95,95,97,92,95,90,93
17,Cristiano Ronaldo,Portugal,95,95,96,86,95,37,84
18,Iniesta,Spain,95,81,79,97,96,67,71
19,Philipp Lahm,Germany,95,84,66,94,89,94,77
20,Lionel Messi,Argentina,95,95,93,89,97,33,66
21,Robert Lewandowski,Poland,94,87,93,81,94,45,87
22,Thomas Müller,Germany,94,88,96,95,89,55,83
23,Sergio Agüero,Argentina,94,95,97,85,97,37,77
24,Ángel Di María,Argentina,94,96,88,91,95,64,78
25,Sergio Ramos,Spain,94,86,69,79,74,96,90
26,Cristiano Ronaldo,Portugal,94,95,96,85,94,36,82
27,Lionel Messi,Argentina,94,94,91,88,97,30,64
28,Carlos Tévez,Argentina,93,94,96,88,95,60,94
29,Sergio Ramos,Spain,93,85,67,78,72,95,90
30,Jérôme Boateng,Germany,93,86,60,80,80,96,92
31,Alexis Sánchez,Chile,93,95,96,89,98,55,80
32,Diego Costa,Spain,93,89,96,75,89,50,95
33,Luis Suárez,Uruguay,93,87,95,86,95,50,87
34,Zlatan Ibrahimović,Sweden,93,79,96,86,93,40,92
35,Arjen Robben,Netherlands,93,95,93,88,96,38,70
36,Toni Kroos,Germany,93,68,91,97,91,68,78
37,Thiago Silva,Brazil,93,86,65,79,78,95,89
38,Cristiano Ronaldo,Portugal,93,94,95,83,92,34,80
39,Lionel Messi,Argentina,93,93,89,86,96,27,62
40,Thiago Silva,Brazil,92,85,64,78,77,94,88
41,James Rodríguez,Colombia,92,86,90,92,91,50,80
42,Toni Kroos,Germany,92,66,89,96,90,65,75
43,Kevin De Bruyne,Belgium,92,88,95,98,94,55,82
44,Luis Suárez,Uruguay,92,86,94,84,94,47,85
45,Zlatan Ibrahimović,Sweden,92,78,95,84,90,38,90
46,Arjen Robben,Netherlands,92,94,91,87,94,37,69
47,Cristiano Ronaldo,Portugal,92,93,93,81,91,32,79
48,Wayne Rooney,England,91,81,98,91,92,52,96
49,Edinson Cavani,Uruguay,91,84,98,80,93,50,94
50,Yaya Touré,Ivory Coast,91,81,92,91,90,91,97
51,Paul Pogba,France,91,85,91,90,95,85,95
52,Antoine Griezmann,France,91,95,95,85,95,40,80
53,Luis Suárez,Uruguay,91,85,93,82,92,45,83
54,Zlatan Ibrahimović,Sweden,91,77,93,82,88,36,88
55,Arjen Robben,Netherlands,91,94,89,85,93,34,65
56,Thiago Silva,Brazil,90,81,63,77,76,94,87
57,Yaya Touré,Ivory Coast,90,80,90,89,87,89,95
58,Wayne Rooney,England,90,80,97,88,89,50,93
59,Edinson Cavani,Uruguay,90,83,96,78,90,47,92
60,Gareth Bale,Wales,90,97,90,89,90,67,87
61,Sergio Agüero,Argentina,90,92,95,84,95,35,75
62,Hulk,Brazil,90,90,98,90,91,55,96
63,Blaise Matuidi,France,90,85,80,87,85,93,91
64,Alexandre Lacazette,France,90,97,96,85,95,50,90
65,Giorgio Chiellini,Italy,90,83,55,62,65,95,96
66,Piqué,Spain,90,72,60,80,67,95,85
67,Santi Cazorla,Spain,90,81,88,95,95,42,70
68,John Terry,England,90,50,57,66,62,97,94
69,Cesc Fàbregas,Spain,90,74,85,96,87,70,70
70,Eden Hazard,Belgium,90,91,86,89,94,37,70
71,Neymar,Brazil,90,94,88,80,96,38,67
72,David Silva,Spain,90,79,85,92,94,38,61
73,Luis Suárez,Uruguay,90,84,90,80,90,43,81
74,Arjen Robben,Netherlands,90,93,86,83,92,32,64
75,Zlatan Ibrahimović,Sweden,90,76,91,81,86,34,86
76,Thomas Müller,Germany,89,84,93,91,87,52,80
77,Clint Dempsey,United States,89,81,94,87,92,55,88
78,Alexis Sánchez,Chile,89,92,94,87,96,50,78
79,Jérémy Toulalan,France,89,60,60,84,80,90,88
80,Robert Lewandowski,Poland,89,83,91,80,90,43,84
81,Dani Alves,Brazil,89,92,76,91,89,87,75
82,Thiago Silva,Brazil,89,80,61,76,75,93,86
83,Sergio Agüero,Argentina,89,91,92,81,93,32,72
84,Gonzalo Higuaín,Argentina,89,85,93,74,87,35,82
85,Eden Hazard,Belgium,89,90,84,87,93,35,67
86,Franck Ribéry,France,89,90,81,88,94,34,64
87,Neymar,Brazil,89,93,87,78,95,35,63
88,David Luiz,Brazil,89,84,74,78,78,90,87
89,David Silva,Spain,89,78,82,91,93,36,59
90,Iniesta,Spain,89,75,72,89,91,59,63
91,Luis Suárez,Uruguay,89,83,87,79,88,42,79
92,Kevin De Bruyne,Belgium,88,84,93,95,92,54,80
93,Mario Götze,Germany,88,82,84,88,94,42,68
94,James Rodríguez,Colombia,88,82,88,89,89,45,76
